,Has Device Type,Has Device OS,Has Device OS Version,Includes Catalan,Includes Catalan Predictive Keyboard,Has Vendor,Has Name
Aparell:Ascend P6 — Huawei,Mòbil,Android,4.2,verdader,Desconegut,Huawei,Huawei Ascend P6
Aparell:Ascend P7 — Huawei,Mòbil,Android,4.4.2,verdader,Desconegut,Huawei,Huawei Ascend P7
Aparell:Asus Fonepad ME175CG — Asus,Tauleta,Android,,verdader,No,Asus,Asus Fonepad ME175CG
Aparell:Asus MemoPad FHD ME302 — Asus,Tauleta,Android,,verdader,No,Asus,Asus MemoPad FHD ME302
Aparell:Asus VivoTab 8 — Asus,Tauleta,Windows Phone,8.1/10,verdader,Desconegut,Asus,Asus VivoTab 8
Aparell:BQ Aquaris 4 — BQ,Mòbil,Android,4.1,verdader,No,bq,bq Aquaris 4
Aparell:BQ Aquaris 4.5 - BQ,Mòbil,Android,,verdader,No,bq,bq Aquaris 4.5
Aparell:BQ Edison 2 - BQ,Tauleta,Android,4.2,verdader,No,bq,bq Edison 2
Aparell:Blackberry Q10 - BlackBerry,Mòbil,BlackBerry,10,verdader,Sí,BlackBerry,Blackberry Q10
Aparell:Blackberry Q5 - BlackBerry,Mòbil,BlackBerry,10,verdader,Sí,BlackBerry,Blackberry Q5
Aparell:Blackberry Z10 - BlackBerry,Mòbil,BlackBerry,10,verdader,Sí,BlackBerry,Blackberry Z10
Aparell:Blackberry Z30 - BlackBerry,Mòbil,BlackBerry,10,verdader,Sí,BlackBerry,Blackberry Z30
Aparell:Bq Aquaris 3.5 — bq,Mòbil,Android,4.2,verdader,No,bq,bq Aquaris 3.5
Aparell:Bq Aquaris 5 HD — bq,Mòbil,Android,4.2,verdader,No,bq,bq Aquaris 5 HD
Aparell:Bq Aquaris 5 — bq,Mòbil,Android,4.2,verdader,No,bq,bq Aquaris 5
Aparell:Bq Aquaris 5.7 — bq,Mòbil,Android,4.2,verdader,No,bq,bq Aquaris 5.7
Aparell:Bq Aquaris E4 — bq,Mòbil,Android,,verdader,No,bq,bq Aquaris E4
Aparell:Bq Aquaris E4.5 — bq,Mòbil,Android,,verdader,No,bq,bq Aquaris E4.5
Aparell:Bq Aquaris E5 — bq,Mòbil,Android,,verdader,No,bq,bq Aquaris E5
Aparell:Bq Aquaris E6 — bq,Mòbil,Android,,verdader,No,bq,bq Aquaris E6
Aparell:Bq Cervantes Touch — bq,Lector de llibres electrònics,Altre,,verdader,No s'aplica,bq,bq Cervantes Touch
Aparell:Bq Cervantes — bq,Lector de llibres electrònics,Altre,,verdader,No s'aplica,bq,bq Cervantes
Aparell:Classwiz FX-350SPX Iberia — Casio,Calculadora,Altre,,verdader,Desconegut,Casio,Classwiz FX-350SPX Iberia
Aparell:Classwiz FX-570SPX Iberia — Casio,Calculadora,Altre,,verdader,Desconegut,Casio,Classwiz FX-570SPX Iberia
Aparell:Classwiz FX-82SPX Iberia — Casio,Calculadora,Altre,,verdader,Desconegut,Casio,Classwiz FX-82SPX Iberia
Aparell:Classwiz FX-991SPX Iberia — Casio,Calculadora,Altre,,verdader,Desconegut,Casio,Classwiz FX-991SPX Iberia
Aparell:Cubot S168 — Cubot,Mòbil,Android,4.4.2,fals,No,Cubot,Cubot S168
Aparell:Elxavisole — Huawei ascend P7,Mòbil,Android,4.4.2,verdader,Desconegut,Huawei,Huawei Ascend P7
Aparell:Exite 3 — MyWigo,Mòbil,Android,4.4,verdader,No,MyWigo,MyWigo Exite 3
Aparell:Fairphone — Fairphone,Mòbil,Android,1.8,verdader,Desconegut,Fairphone,Fairphone
Aparell:Galaxy Nexus - Google / Samsung,Mòbil,Android,4.0 o superior,verdader,No,Google / Samsung,Galaxy Nexus
Aparell:H7S — ALLVIEW,Tauleta,Android,4.2.2,verdader,Desconegut,ALLVIEW,H7S
Aparell:HTC Desire - HTC,Mòbil,Android,,fals,No,HTC,HTC Desire
Aparell:HTC Desire C - HTC,Mòbil,Android,,fals,No,HTC,HTC Desire C
Aparell:HTC One - HTC,Mòbil,Android,,verdader,No,HTC,HTC One
Aparell:HTC One S - HTC,Mòbil,Android,,fals,No,HTC,HTC One S
Aparell:HTC One X - HTC,Mòbil,Android,,fals,No,HTC,HTC One X
Aparell:HTC One mini - HTC,Mòbil,Android,,fals,No,HTC,HTC One mini
Aparell:HTC Windows Phone 8S - HTC,Mòbil,Windows Mobile,8,verdader,Sí,HTC,HTC Windows Phone 8S
Aparell:HTC Windows Phone 8X - HTC,Mòbil,Windows Mobile,8,verdader,Sí,HTC,HTC Windows Phone 8X
Aparell:Hallye — MyWigo,Mòbil,Android,4.4,verdader,No,MyWigo,MyWigo Hallye
Aparell:Huawei Ascend G300 - Huawei,Mòbil,Android,,fals,No,Huawei,Huawei Ascend G300
Aparell:Huawei Ascend G510 - Huawei,Mòbil,Android,,verdader,No,Huawei,Huawei Ascend G510
Aparell:Huawei Ascend G7 — Huawei,Mòbil,Android,4.4.4,verdader,Sí,Huawei,Huawei Ascend G7
Aparell:Huawei Ascend G740 - Huawei,Mòbil,Android,,verdader,No,Huawei,Huawei Ascend G740
Aparell:Huawei Ascend P1 - Huawei,Mòbil,Android,,verdader,No,Huawei,Huawei Ascend P1
Aparell:Huawei Ascend P6 - Huawei,Mòbil,Android,,verdader,No,Huawei,Huawei Ascend P6
Aparell:Huawei Ascend Y300 - Huawei,Mòbil,Android,,verdader,No,Huawei,Huawei Ascend Y300
Aparell:Huawei Honor 6 — Huawei,Mòbil,Android,4.4,verdader,Sí,Huawei,Huawei Honor 6
Aparell:Huawei Orange Daytona - Huawei,Mòbil,Android,,verdader,No,Huawei,Huawei Orange Daytona
Aparell:IPad (2a generació) — Apple,Tauleta,iOS,4.0 o superior,verdader,Sí,Apple,iPad (2a generació)
Aparell:IPad (3a generació) — Apple,Tauleta,iOS,4.0 o superior,verdader,Sí,Apple,iPad (3a generació)
Aparell:IPad (4a generació) — Apple,Tauleta,iOS,4.0 o superior,verdader,Sí,Apple,iPad (4a generació)
Aparell:IPad - Apple,Tauleta,iOS,4 o superior,verdader,Sí,Apple,iPad (1a generació)
Aparell:IPad Air 2 — Apple,Tauleta,iOS,4.0 o superior,verdader,Sí,Apple,iPad Air 2
Aparell:IPad Air — Apple,Tauleta,iOS,4.0 o superior,verdader,Sí,Apple,iPad Air
Aparell:IPad Mini 2 — Apple,Tauleta,iOS,4.0 o superior,verdader,Sí,Apple,iPad Mini 2
Aparell:IPad Mini 3 — Apple,Tauleta,iOS,4.0 o superior,verdader,Sí,Apple,iPad Mini 3
Aparell:IPad Mini — Apple,Tauleta,iOS,4.0 o superior,verdader,Sí,Apple,iPad Mini
Aparell:IPhone 4S - Apple,Mòbil,iOS,4 o superior,verdader,Sí,Apple,iPhone 4S
Aparell:IPhone 5 — Apple,Mòbil,iOS,6.0 o superior,verdader,Sí,Apple,iPhone 5
Aparell:IPhone 5C - Apple,Mòbil,iOS,4 o superior,verdader,Sí,Apple,iPhone 5C
Aparell:IPhone 5S - Apple,Mòbil,iOS,4 o superior,verdader,Sí,Apple,iPhone 5S
Aparell:IPhone 6 Plus — Apple,Mòbil,iOS,8.0 o superior,verdader,Sí,Apple,iPhone 6 Plus
Aparell:IPhone 6 — Apple,Mòbil,iOS,8.0 o superior,verdader,Sí,Apple,iPhone 6
Aparell:Ingo Frozen Karaoke — Ingo,Tauleta,Android,4.4.2,fals,No,Ingo,Ingo Frozen Karaoke
Aparell:Keon - Geeksphone,Mòbil,Firefox OS,1.1.0,verdader,Sí,Geeksphone,Keon
Aparell:Kindle 2 versió internacional — Amazon,Lector de llibres electrònics,Linux Kindle,2.5.8,fals,No,Amazon,Kindle 2 versió internacional
Aparell:Kindle 2 — Amazon,Lector de llibres electrònics,Linux Kindle,2.5.8,fals,No,Amazon,Kindle 2
Aparell:Kindle 3 — Amazon,Lector de llibres electrònics,Linux Kindle,3.4,fals,No,Amazon,Kindle 3
Aparell:Kindle 4 — Amazon,Lector de llibres electrònics,Linux Kindle,4.1.1,fals,No s'aplica,Amazon,Kindle 4
Aparell:Kindle 5 — Amazon,Lector de llibres electrònics,Linux Kindle,5.3.7,fals,No,Amazon,Kindle 5
Aparell:Kindle DX Graphite — Amazon,Lector de llibres electrònics,Linux Kindle,,fals,No s'aplica,Amazon,Kindle DX Graphite
