,Has Author,Has Capture,Has Download Size,Has Download URL,Has Downloads,Has License,Has Logo,Has Name,Has Num Votes,Has OS,Has OS Details,Has Price,Has Project,Has Score Votes,Has Status,Has Summary,Has Topic,Has URL,Has Version,Has Warning,Has Warning Type,Supports ODF,Is Hosted in SC,Data de creació,Categories
Rebost:324,CCRTV,Fitxer:324 captura.jpg,,"https://itunes.apple.com/ao/app/324/id457034636?mt=8,https://play.google.com/store/apps/details?id=com.tres24&hl=ca",468,Programa Comercial,Fitxer:324.jpg,324,6,"iOS,Android","4.3 o superior,2.2 o superior",Gratuït,Projectes/Rebost,3,Estable,"'''324''' és l'aplicació per dispositius Android i iOS del canal de notícies de Televisió de Catalunya 3/24. Amb l'aplicació, el telespectador pot seguir l'actualitat fàcilment per seccions; Catalunya, Societat, Política, Món, Economia, Esports, Tecnologia, Oci i Cultura, ... a més de poder veure en directe el canal.…",Multimèdia,http://www.324.cat/mobils/,"1.6,1.0.18",,,,fals,27 març 2013 16:46:19,
Rebost:7-Zip,Igor Pavlov,Fitxer:Rebost 7zip.png,"1,100,000","http://www.7-zip.org/a/7z1514.exe,http://www.7-zip.org/a/7z1514-x64.exe","56,26",Programari lliure,Fitxer:7ziplogo.png,7-Zip,338,"Windows32,Windows64",,,,3175,Estable,"El '''7-Zip''' és un compressor i descompressor gratuït de fitxers que es distribueix sota una llicència lliure (GNU LGPL). Permet descomprimir els formats més comuns (ZIP, RAR, ISO, CAB...).

Té les característiques següents:
Una relació de compressió alta amb el nou format 7z amb compressió LZMA.Formats admesos:     Compressió / descompressió: 7z, ZIP, GZIP, BZIP2 i TAR.Únicament descompressió: RAR, CAB, ISO, ARJ, LZH, CHM…",Utilitats,http://www.7-zip.org/,15.14,,,,fals,18 març 2008 20:57:34,
Rebost:9Alcover,Carles Noguera,Fitxer:9Alcover.PNG,"1,468,006",https://itunes.apple.com/app/9alcover/id414673587?l=ca&mt=8,285,Programa comercial,Fitxer:9Alcover Logo.jpg,9Alcover,18,iOS,,Gratuït,,2333,Estable,"El '''9Alcover''' és una aplicació per l'iPhone i l'iPad que consulta la web del diccionari Català-Valencià-Balear, de l'IEC.…",Llengua,http://nou.cat/ios/alcover/,1.1,,,,fals,4 gener 2013 17:25:53,
Rebost:9Diec2,Carles Noguera,Fitxer:9Diec2.PNG,"1,887,437",https://itunes.apple.com/app/9diec2/id413649888?l=ca&mt=8,411,Programa comercial,Fitxer:9Diec2 Logo.jpg,9Diec2,22,iOS,,Gratuït,,2818,Estable,El '''9Diec2''' és una aplicació per a l'iPhone i l'iPad que consulta el diccionari en línia de l'IEC.…,Llengua,http://nou.cat/ios/diec/,1.1,,,,fals,4 gener 2013 17:36:19,
Rebost:9Icc,Carles Noguera,Fitxer:9lcc.PNG,"104,858",https://itunes.apple.com/app/9icc/id414904329?l=ca&mt=8,270,Programa comercial,Fitxer:9Icc Logo.jpg,9Icc,20,iOS,,Gratuït,,2.2,Estable,"El '''9Icc''' és una aplicació iPhone i l'iPad, per navegar pels mapes topogràfics i ortogràfica de l'Institut Cartogràfic de Catalunya en pantalla completa.

Perquè les aplicacions de mapes no sempre són suficients...…",Internet Eines,http://nou.cat/ios/icc/,0.2,,,,fals,6 gener 2013 11:41:21,
Rebost:AMSN,aMSN,Fitxer:Rebost-aMSN.png,"8,000,000,10,800,000","http://sourceforge.net/projects/amsn/files/amsn/0.98.4/aMSN-0.98.4-tcl85-windows-installer.exe/download,http://www.amsn-project.net/linux-downloads.php,http://sourceforge.net/projects/amsn/files/amsn/0.98.4/aMSN-0.98.4-1.dmg/download","8,602",Programari lliure,Fitxer:Logo-aMSN.jpg,AMSN,111,"Windows,Linux,OSX",,,,2928,Estable,"L''''aMSN''' és un programa de missatgeria instantània clon del MSN Messenger de Microsoft, de codi obert, multiplataforma (Windows, Linux, OSX i FreeBSD) i multilingüe.

Entre les seves característiques destaquen:
Client de la xarxa MSN Messenger de Microsoft.Missatgeria fora de línia.Clips de veu.Visualització d'imatges.Emoticones personalitzades.Funcionament multilingüe (permet l'ús d'unes 40 llengües).Admet l'ús de webcams.Inici de sessió amb més d'un compte…",Internet Eines,http://www.amsn-project.net/,0.98.4,,,,fals,27 juliol 2008 19:36:15,
Rebost:AMule,aMule,Fitxer:Rebost-amule.png,"8,000,000,12,000,000","http://downloads.sourceforge.net/project/amule/aMule/2.3.1/aMule-2.3.1-installer.exe,http://www.amule.org/,http://www.amule.org/files/download.php?file","24,02",Programari lliure (GPL),Fitxer:EMule mascot.svg,AMule,185,"Windows,Linux,OSX",,,,3205,Estable,"L''''aMule''' és un programa de compartició de fitxers d'igual a igual (P2P) basat en el popular eMule. Multiplataforma (Windows, Linux, OSX, BSD, Solaris), fa servir les xarxes eDonkey200, Kad i Kademlia, a més d'oferir més característiques que l'eMule.

L'aMule presenta les característiques més avançades dels programes de compartició de fitxers: permet compartir tot tipus de fitxers, aturar i reemprendre la descàrrega en qualsevol moment, descarregar des…",Internet Eines,http://www.amule.org,2.3.1,,,,fals,27 juliol 2008 14:38:33,
Rebost:ARA.CAT mòbil,"Edició de Premsa Periòdica Ara, SL",Fitxer:ARACAT.jpg,"6,920,602","https://itunes.apple.com/app/ara.cat-mobil/id428237964?l=ca&mt=8,https://play.google.com/store/apps/details?id=cat.ara.android&hl=ca",169,Programa comercial,Fitxer:ARACAT Logo.jpg,ARA.CAT mòbil,0,"iOS,Android",,Gratuït,,0,Estable,"Amb l'aplicació '''ARA.CAT''' tindreu accés a les notícies actualitzades de política, internacional, societat, cultura, economia, esports, mitjans i xarxes del diari Ara. També podreu veure els vídeos de l'Ara TV, les galeries de fotos d'actualitat i la previsió meteorològica per a les pròximes hores. Si sou usuari de l'Ara.cat podreu enviar comentaris i tenir accés a l'Ara Premium, els continguts exclusius i d'opinió de…",,http://www.ara.cat/,"3.2.1,3.2",,,,fals,3 gener 2013 10:57:52,
Rebost:ATCalc,Jordi March i Nogué,Fitxer:SingleFormsCAT.gif,"2,602,459",http://downloads.sourceforge.net/atcalc/ATCalcCAT_31_Inst.exe,"2,959",GPL,Fitxer:ATCalc-16.gif,ATCalc,69,"Windows,Linux,OSX",,,,2391,Estable,"L''''ATCalc''' és una calculadora científica i gràfica i un entorn de programació.

Està totalment adaptat per a persones amb dificultat visual: moderada (podent-se augmentar la mida de les lletres) o fonda o amb ceguesa (persones que precisen un lector de pantalla).

Com a ''calculadora simple'' permet repassar les operacions que hom ha anat introduint i veure’n els diferents resultats, disposant d’una ''calculadora temporal''. Com a ''calculadora…",Educació/Ciència,http://sourceforge.net/projects/atcalc,3.1.9.6,,,,fals,15 gener 2009 18:07:31,
Rebost:AbiWord,AbiWord,Fitxer:Rebost-abiword.jpg,"7,900,000,9,100,000,9,000,000","http://www.abisource.com/downloads/abiword/2.8.6/Windows/abiword-setup-2.8.6.exe,http://www.abisource.com/download/,http://www.abisource.com/downloads/abiword/2.4.5/MacOSX/AbiWord-2.4.5-10.2.dmg.gz","21,936",Programari lliure,Fitxer:AbiWord.png,AbiWord,238,"Windows,Linux,OSX",,,Projectes/Abiword,3227,Estable,"L''''AbiWord''' és un processador de textos que té un aspecte semblant al de Microsoft Word però que és lliure i molt més lleuger.

L'AbiWord ofereix un munt de funcions per a processament de textos; inclou totes les opcions habituals de formatació de caràcters, alineament de paràgrafs, regles, tabulacions, etc. S'hi poden utilitzar tipus de lletra TrueType, ""refés"" il·limitats i imatges del disc dur. A més del…",Ofimàtica,http://www.abisource.com,"2.8.6,2.4.5,3.0.1",,,verdader,fals,18 març 2008 21:00:44,
